Date,Open,High,Low,Close,Volume
11-10-2017,23.5872,24.5239,23.1614,24.1833,1020619
12-10-2017,24.5239,25.3754,24.2685,25.3754,1465673
13-10-2017,25.2902,25.9715,25.1199,25.2051,576064
16-10-2017,25.4606,25.5457,25.0348,25.12,579401
17-10-2017,25.0348,25.8864,25.0348,25.3754,631609
18-10-2017,25.5457,25.5457,24.8645,24.9497,698570
19-10-2017,24.9497,24.9497,24.4388,24.6942,797220
20-10-2017,24.3536,24.9497,24.3536,24.6942,327110
23-10-2017,24.7794,24.7794,23.3318,23.5872,434019
24-10-2017,23.6724,23.8427,23.4169,23.5872,228613
25-10-2017,23.5872,24.2684,23.5872,24.2684,236503
26-10-2017,24.2684,24.2684,23.4169,23.8427,222241
27-10-2017,24.0982,24.0982,23.5872,23.6724,106830
30-10-2017,23.4169,23.9279,22.6506,22.906,446345
31-10-2017,22.9912,23.0763,22.3099,22.7357,309685
01-11-2017,22.9912,23.1615,22.4802,22.5654,147636
02-11-2017,22.6506,22.9912,22.3099,22.5654,178899
03-11-2017,22.7357,23.4169,22.7357,23.1615,250020
06-11-2017,23.417,23.6724,23.0763,23.3318,234630
07-11-2017,23.417,23.8427,23.3318,23.5021,172055
08-11-2017,23.5021,23.5021,22.9912,23.3318,225670
09-11-2017,23.1615,23.3318,22.9912,23.0763,179117
10-11-2017,23.0763,25.0348,23.0763,24.6091,1173356
13-11-2017,24.6943,25.8012,24.6943,25.12,659063
14-11-2017,25.5458,25.5458,24.6942,24.7794,435673
15-11-2017,24.9497,24.9497,24.1833,24.3536,594308
16-11-2017,24.4388,25.2903,24.2684,25.2051,900298
17-11-2017,25.0348,25.4606,24.7793,24.9497,631651
20-11-2017,25.12,25.4606,24.9497,25.12,389281
21-11-2017,25.0348,26.8231,24.9497,25.9715,1405929
22-11-2017,26.1418,28.8667,25.8863,28.5261,2575987
23-11-2017,28.5261,29.3776,27.2488,28.1003,1099305
24-11-2017,28.1003,28.3558,27.5042,28.1003,760832
27-11-2017,28.0151,29.8033,27.93,29.5479,1471607
